,City,lat,lng,Population,Density,Surface,Depriv_idx,CovidCases_jan_jun_2020,MaxHospitalized_jan_jun_2020,AvgHospitalized_jan_jun_2020,Deceased_jan_jun_2020,MaxIntensiveCare_jan_jun_2020,AvgIntensiveCare_jan_jun_2020,mean_pm10_ug/m3_mean_jan_jun_2020,mean_pm10_ug/m3_std_jan_jun_2020,mean_pm10_ug/m3_median_jan_jun_2020,max_pm10_ug/m3_mean_jan_jun_2020,max_pm10_ug/m3_std_jan_jun_2020,max_pm10_ug/m3_median_jan_jun_2020,min_pm10_ug/m3_mean_jan_jun_2020,min_pm10_ug/m3_std_jan_jun_2020,min_pm10_ug/m3_median_jan_jun_2020,mean_pm10_ug/m3_mean_jan_jun_2020,mean_pm10_ug/m3_std_jan_jun_2020,mean_pm10_ug/m3_median_jan_jun_2020,mean_pm10_ug/m3_mean_2019,mean_pm10_ug/m3_std_2019,mean_pm10_ug/m3_median_2019,max_pm10_ug/m3_median_2019,max_pm10_ug/m3_mean_2019,max_pm10_ug/m3_std_2019,min_pm10_ug/m3_median_2019,min_pm10_ug/m3_mean_2019,min_pm10_ug/m3_std_2019,Zone,Region
0,Acquasparta,42.6911725,12.5464506,4611,57.0,81.61,1.0135067701339722,6,1,0.2735849056603773,0,1,0.07547169811320754,16.448845361752205,7.735423953036287,15.089289720373595,33.83661535284021,17.647869712782573,29.368189811706554,7.261862589435263,4.781903937551418,5.875183820724487,16.448845361752205,7.735423953036287,15.089289720373595,16.258195594533387,7.288499888985072,14.674647290577257,27.591323852539066,31.958118475299987,15.96066658054039,6.754476547241211,7.535171328668723,4.595696104837542,collinare e montana,Umbria
1,Allerona,42.812033,11.973053,1722,21.0,82.61,-1.3092718124389648,3,1,0.33673469387755106,0,0,0.0,16.009011205822198,8.708983600564581,14.28021806632409,33.495723168928535,24.558868100849317,27.071611404418945,5.148148264203753,3.2952726888536232,4.329870700836182,16.009011205822198,8.708983600564581,14.28021806632409,15.87448429790898,7.038711844591672,14.75220617484039,26.31259536743164,30.56573632122719,18.320678929293877,4.79066276550293,5.6230075953757925,3.7542143422532552,collinare e montana,Umbria
2,Alviano,42.5882078,12.2959357,1428,60.0,23.9,-2.1488823890686035,2,1,0.25263157894736843,0,0,0.0,22.5560826218061,11.939011493679821,19.56296901529034,38.18389854326353,20.920174401285934,32.187719345092766,9.650757276094877,5.429372916097728,8.142605781555176,22.5560826218061,11.939011493679821,19.56296901529034,20.957803491146628,8.908002143063658,19.626042765875656,30.00825500488281,34.68577974136561,17.674600753012157,8.948165893554688,9.722943588805526,5.0466092236647215,collinare e montana,Umbria
3,Amelia,42.5535279,12.4167756,11852,89.0,132.5,-0.8320842385292053,5,1,0.3173076923076923,1,0,0.0,18.391294056857483,8.45365960132995,16.21049857624178,36.719376013829155,16.893413047153658,32.94455337524414,7.836243549546043,4.633759017172504,6.741657018661499,18.391294056857483,8.45365960132995,16.21049857624178,17.890738418759387,7.749980794993535,16.706606090553407,31.10333824157715,36.154165150368044,19.36412180219789,7.095290660858152,7.938031264037303,4.636136709130455,collinare e montana,Umbria
4,Arrone,42.583433,12.7698649,2703,66.0,41.04,-0.4799189567565918,7,1,0.4757281553398058,2,0,0.0,13.751942598136365,6.99375254651259,12.296421308284518,33.30290260943737,21.477546617946192,27.72273349761963,4.4843296107355055,4.0126690584261215,3.4603915214538574,13.751942598136365,6.99375254651259,12.296421308284518,14.221094485215573,7.416701868222753,12.388707526456347,26.191957473754893,32.194737499707365,20.364873867475808,3.9706923961639418,4.8883654065328095,4.001205179559396,collinare e montana,Umbria
5,Assisi,43.071195200000005,12.614666900000001,28391,152.0,187.19,0.2207658886909485,31,5,1.3773584905660377,1,2,0.4622641509433962,16.80068760334025,10.309354871400004,14.800895226868914,36.37752301352365,23.978927150709648,29.15074062347412,5.392426848739059,5.35004689186054,3.993142366409303,16.80068760334025,10.309354871400004,14.800895226868914,16.374806533106803,7.611260994349582,14.722488785756008,29.00388145446777,34.44943900173658,20.63451427701992,4.464186191558838,5.669082627067827,4.464398288734,di valle,Umbria
6,Attigliano,42.51433370000001,12.2925076,2012,191.0,10.51,2.8720507621765137,0,0,0.0,0,0,0.0,24.425613491608328,13.564880650468776,20.417067133718067,41.66369844792963,24.86681992885468,34.5266170501709,13.21073319885757,7.254697330549134,10.94324779510498,24.425613491608328,13.564880650468776,20.417067133718067,22.37326766955389,9.674192276219474,20.71935388114717,32.58686065673828,37.86806899292829,20.49984492109779,11.731197357177734,12.57893384188822,5.8810286277483,collinare e montana,Umbria
7,Avigliano_Umbro,42.654834,12.426165,2453,48.0,51.34,-1.9491087198257449,0,0,0.0,0,0,0.0,16.324548819128662,7.6320083524057125,14.849294149627287,32.345362647549145,16.488200054178584,28.99746990203857,7.407717001962137,4.93111456753837,6.0870423316955575,16.324548819128662,7.6320083524057125,14.849294149627287,16.244558291104536,7.256428567692147,14.859865720782961,26.3166618347168,29.989389437845308,14.709593394643314,6.886859893798827,7.793666254820889,4.697344363821858,collinare e montana,Umbria
8,Baschi,42.670283500000004,12.2161353,2683,39.0,68.57,-2.620295286178589,8,2,0.2452830188679245,1,0,0.0,18.341597632097567,9.204809054862736,16.371190472755558,36.18899461201259,20.48132274089904,30.419757843017567,8.191129949721661,5.15723689393345,6.916329383850098,18.341597632097567,9.204809054862736,16.371190472755558,17.797337050710198,7.584994386032982,16.683468364422616,29.747783660888672,33.588683990583036,16.928647258582558,7.863472461700439,8.506553555188113,4.762673873317648,collinare e montana,Umbria
9,Bastia_Umbra,43.0677554,12.5495816,21714,787.0,27.6,2.2486557960510254,25,3,0.8962264150943396,0,1,0.2169811320754717,21.442867857226666,13.439913451059446,17.357256729776662,37.49226592137264,26.05829663736048,28.78600597381592,13.355777399880544,8.877655811714654,10.401594638824463,21.442867857226666,13.439913451059446,17.357256729776662,20.165346521529536,9.367288177804594,18.458385934432343,28.462825775146484,34.65223171808948,22.783443600387496,11.651838302612305,12.722304014310446,6.477983170401868,di valle,Umbria
10,Bettona,43.013614000000004,12.4847565,4322,96.0,45.08,1.0920014381408691,2,1,0.2735849056603773,0,0,0.0,17.785007812352948,10.790956619673867,15.53578876124488,32.604222391987896,19.805738954711988,27.40168857574463,9.077618939535958,5.585165839953248,7.504962205886841,17.785007812352948,10.790956619673867,15.53578876124488,17.18349779784498,7.767148820472799,15.700270246134865,25.96410179138184,30.15952459492096,16.265825913450133,8.46315860748291,9.197273679955364,4.894704853156062,collinare e montana,Umbria
11,Bevagna,42.9340752,12.6091209,4919,87.0,56.22,-0.07366465032100677,4,2,0.28846153846153844,0,1,0.009615384615384616,19.23069506022718,10.411818530032424,16.531891231996973,34.27201714358487,19.678174991216405,28.58158779144287,9.011215806662381,5.4580131093541695,7.410832405090331,19.23069506022718,10.411818530032424,16.531891231996973,18.32514246917529,8.113861593871517,16.571854388504697,27.797351837158203,31.84634374069841,16.709893616832908,8.31744384765625,9.04343857830518,4.812157054241147,di valle,Umbria
12,Calvi_dell_Umbria,42.4031242,12.567432,1765,39.0,45.79,-1.8084770441055296,1,0,0.0,0,0,0.0,19.48418283853134,9.107098438495873,16.902174603504438,39.90447761200287,21.971000558789633,33.05238914489746,7.7361040593503585,5.400865326546247,6.276035785675049,19.48418283853134,9.107098438495873,16.902174603504438,18.560743548344504,8.19588173720032,17.19931369336943,30.16707420349121,35.51111330790062,19.455328957823347,6.947653293609619,7.793134227027633,4.861737965788762,collinare e montana,Umbria
13,Campello_sul_Clitunno,42.8228682,12.776263499999999,2392,48.0,49.76,-1.6353470087051392,1,0,0.0,0,0,0.0,10.864716085844123,7.211362135396018,9.060455766107351,26.608106969477053,13.034662475020205,23.68157005310057,5.179201631755619,4.868865269700871,3.651497006416321,10.864716085844123,7.211362135396018,9.060455766107351,11.711329978612394,7.408590434075121,9.821147080451725,22.36709213256836,26.80236407893977,14.803007200197538,4.24376916885376,5.511103979202166,4.598284782670474,collinare e montana,Umbria
14,Cannara,42.994741999999995,12.579363,4305,131.0,32.81,-0.1115819662809372,0,0,0.0,0,0,0.0,19.600262260883586,11.184618656835392,16.786312768333836,33.54962296014304,19.97734164289128,28.38989067077637,9.561631854418867,5.719632755369457,7.633841037750244,19.600262260883586,11.184618656835392,16.786312768333836,18.604852786649808,8.287131449999478,17.01034806590331,26.93862152099609,31.07704411467461,16.952953481999128,8.804224014282227,9.597058870367807,5.036707011975785,di valle,Umbria
15,Cascia,42.7170082,13.0135022,3068,17.0,180.85,-0.1841239631175995,9,2,0.2735849056603773,1,0,0.0,10.188554932546039,7.352910246685925,8.028096582062055,25.920859391872696,21.1082938004078,20.11686992645264,3.4005611583918007,3.7454158940328015,2.4633097648620605,10.188554932546039,7.352910246685925,8.028096582062055,11.349484922873009,8.090060536742984,9.418568703521977,19.82642936706543,28.14771780510471,23.134033904731435,2.7479677200317383,3.743167542288565,3.6094045037441553,collinare e montana,Umbria
16,Castel_Giorgio,42.7078943,11.9793909,2099,50.0,42.14,-2.4915034770965576,21,1,0.12745098039215685,0,0,0.0,13.686844116292296,7.609307232663492,11.805390031587693,28.226682723223508,20.42064357977419,23.01017951965332,5.251182409433218,3.4880486991751285,4.4372992515563965,13.686844116292296,7.609307232663492,11.805390031587693,14.00156862139219,6.939437010862907,12.722521254452325,21.88880157470703,26.84010010549467,17.662589755746716,4.736016273498535,5.663928032247987,3.851515761449497,collinare e montana,Umbria
17,Castel_Ritaldi,42.823260100000006,12.6722871,3156,141.0,22.44,0.2365788817405701,5,0,0.0,0,0,0.0,19.038066265802463,9.525554770359467,16.409262595971427,32.38088208502466,17.343614929429698,28.04347515106201,10.1455010503203,5.665220399953783,7.981090307235718,19.038066265802463,9.525554770359467,16.409262595971427,18.18291043494336,8.006949082476716,16.654168685277302,26.24992370605469,30.03420233791821,15.83277365530426,9.19170093536377,10.07817604019217,5.1255513808539055,collinare e montana,Umbria
18,Castel_Viscardo,42.75467379999999,12.001302800000001,2825,108.0,26.22,0.2003045529127121,10,5,1.4528301886792452,1,1,0.07547169811320754,17.425411623517846,9.150417081269907,15.294160025684455,32.966905263754036,19.276834309142984,28.04270362854004,9.207855558002388,5.396446261379856,7.5329272747039795,17.425411623517846,9.150417081269907,15.294160025684455,17.113717669255742,7.321517296068118,16.128503684411967,27.14894294738769,30.00432551397036,14.704473825619814,9.062792778015137,9.53199018288965,4.751861479428158,collinare e montana,Umbria
19,Castiglione_del_Lago,43.127140999999995,12.04525,15382,75.0,205.26,0.010793693363666534,24,3,0.9528301886792452,2,2,0.2452830188679245,19.597077843585414,13.801320895737089,16.358544153723734,38.52842745414147,30.56264648055441,28.834821701049805,5.6893955927628745,4.064947508309693,4.5816824436187735,19.597077843585414,13.801320895737089,16.358544153723734,18.285613359631764,8.180215728276194,17.00903695984931,28.31266784667969,34.424571228027354,20.31679647634355,4.671616077423097,5.7951276354593775,3.8822261065387296,collinare e montana,Umbria
20,Cerreto_di_Spoleto,42.8210425,12.9176291,1012,14.0,74.78,0.35072600841522217,0,0,0.0,0,0,0.0,12.407388971007194,7.0890434619704505,10.76877922088176,25.23139433808379,12.534127017095953,22.29633045196533,5.384548160401019,4.8891686795536105,3.879379272460937,12.407388971007194,7.0890434619704505,10.76877922088176,13.16813181377883,7.4458533939424765,11.472039266346812,21.91643524169922,26.661615627759122,15.23418821967507,4.483688831329347,5.701023060328339,4.559425160965174,collinare e montana,Umbria
21,Citerna,43.498406700000004,12.1155164,3463,147.0,23.53,0.5354872941970825,5,1,0.02884615384615385,1,0,0.0,18.876124977725716,14.48973852622833,16.181117592255276,32.985722662328364,28.30920526989779,25.79922389984131,5.6983046177979375,4.183695352610834,4.614403963088988,18.876124977725716,14.48973852622833,16.181117592255276,17.47012549068558,8.01075708891919,16.2004123767217,25.36609649658203,29.861984289508968,18.50133811145217,4.720793724060059,5.835147050308857,3.987684237936536,collinare e montana,Umbria
22,Citta_della_Pieve,42.9527338,12.004325999999999,7689,69.0,110.94,0.05742406845092773,23,1,0.2641509433962264,1,1,0.018867924528301886,17.692683602630122,10.19566760495727,15.634374556087312,33.34220396293389,23.51146074678111,26.9087438583374,5.530252346625695,3.625688839746866,4.623350381851196,17.692683602630122,10.19566760495727,15.634374556087312,17.065710929135072,7.422957479060463,16.005096240333778,25.65301513671875,30.464944143164647,18.275436624128734,4.7382164001464835,5.814366884754128,3.844440652406216,collinare e montana,Umbria
